record_id,bagobo_text,english_text,tagalog_text,cebuano_text
SENT-0164,Igpadággà din tô bayi.,He made the woman lie down.,Pinahiga niya ang babae.,Gipahigda niya ang babaye.
SENT-0165,Igtakmagan din é gátták.,He touched the abdomen.,Hinawakan niya ang tiyan.,Gihikap niya ang tiyan.
SENT-0166,Na migilus din.,And he massaged it.,At minasahe niya ito.,Ug iya kining gihilot.
SENT-0167,"Ándà kadugé, miglássut tô batà, na igpanayun igsággò.","Before long, the baby came out, and it proceeded to cry.","Hindi nagtagal, lumabas ang sanggol, at nagpatuloy ito sa pag-iyak.","Wala madugay, migawas ang bata, ug nagpadayon kinig hilak."
SENT-0168,Igsággò tô batà dutun ta saruwan katô innà din.,The baby cried in front of its mother.,Umiyak ang sanggol sa harap ng kanyang ina.,Mihilak ang bata sa atubangan sa iyang inahan.
SENT-0169,Migkita si Basagan na iglássutan dán tô batà din bayi.,Basagan saw that his daughter had given birth.,Nakita ni Basagan na nanganak na ang kanyang anak.,Nakita ni Basagan nga nanganak na ang iyang anak.
SENT-0170,"Na ágsállággán din madigarrù man, dì man ágkamáté.","And he saw she was well, and she would not die from it.","At nakita niyang mabuti ang kalagayan nito, at hindi siya mamamatay rito.","Ug nakita niya nga maayo ang kahimtang niini, ug dili siya mamatay gikan niini."
SENT-0171,Ágkasalábbuan si Basagan.,Basagan was surprised.,Nagulat si Basagan.,Nakuratan si Basagan.
SENT-0172,"Tô gó langun katô mga sakup i Basagan, migpadángngané dan igpadanìyan si Paliman, na migakus dan.","That is why all Basagan’s subjects, they simultaneously came near to Paliman, and they hugged him.","Kaya naman lahat ng tauhan ni Basagan, sabay-sabay silang lumapit kay Paliman, at niyakap siya.","Mao nga ang tanang ginsakopan ni Basagan, dungan silang miduol kang Paliman, ug naggakos kaniya."
SENT-0173,Migshipit dan.,They held him in their arms.,Niyakap nila siya sa kanilang mga bisig.,Gigakos nila siya sa ilang mga bukton.
SENT-0174,Igsuisuiyan dan su idayawan dan na madigár é kapamasusu katô batà din.,They took turns holding him because they were happy that Basagan’s daughter’s giving birth was good.,Nagpalitan sila sa pagyakap sa kanya dahil masaya sila na naging maayos ang panganganak ng anak ni Basagan.,Nagpuli-puli sila paggakos kaniya tungod kay nalipay sila nga naayo ang pagpanganak sa anak ni Basagan.
SENT-0175,"Na, sábbad álló, igkagi i Basagan, mà din, “Mga manubù, palimudé kó langun su mimu ki ka ináman.”","Now one day, Basagan spoke, saying, “People, all of you gather together because we will make a feast.”","Ngayon isang araw, nagsalita si Basagan, na nagsasabing, ""Mga tao, magtipon kayong lahat dahil gagawa tayo ng piging.""","Karon usa ka adlaw, misulti si Basagan, nga nagaingon, Mga tawo, pagtigom mong tanan kay maghimo ta og piging."
SENT-0176,Magpista ki.,We will have a celebration.,Magkakaroon tayo ng pagdiriwang.,Maghimo ta og kasaulogan.
SENT-0177,"Pistaan ta si Paliman, su tikud kandin, kumarapung dán ni manubù ni ta Banga, su migtabangan din ni batà ku bayi.","We will celebrate ang honor Paliman, because from him, these very people here in Banga will now multiply, because he helped this daughter of mine.","Ipagdiriwang natin at pararangalan si Paliman, dahil mula sa kanya, ang mga tao mismong ito rito sa Banga ay dadami na, dahil tinulungan niya itong anak ko.","Magsaulog ug pasidunggan nato si Paliman, tungod kay gikan kaniya, kining mga tawhana dinhi sa Banga kay modaghan na, tungod kay gitabangan niya kining anak ko."
SENT-0178,"Na dì ku pa,” mà din, “áskandin pólián sippang ka duwán makakatig gawat ka ágpanmasusu.”","“And I will not yet,” he said, “let him go home until there is already someone who knows how to perform midwifery.”","At hindi ko muna siya, sabi niya, ""papauwiin hangga't wala pang marunong magpaanak.""","Ug dili pa nako siya, matod niya, papahulion hangtod nga aduna nay makahibalo unsaon pagpaanak."
SENT-0179,"Na, tikud taddó, ágtádduan i Paliman tô mga manubù diyan ta Banga ka ágpanmánnu é kawat, ágpanmánnu é ágtákkán, ágpanmánnu é kélus katô gabayi.","Now from that time on, Paliman instructed the people at Banga about how to perform midwifery, how to perform pushing, and how to perform massaging on women.","Ngayon simula noong panahong iyon, tinuruan ni Paliman ang mga tao sa Banga tungkol sa kung paano magpaanak, kung paano ang pag-ire, at kung paano ang pagmamasahe sa mga babae.","Karon gikan niadtong panahona, gitudloan ni Paliman ang mga tawo sa Banga kon unsaon ang pagpaanak, unsaon ang pag-utong, ug unsaon ang paghilot sa mga babaye."
SENT-0180,"Ikatig si Paliman dutun ta kandin pa banuwa, su ágkita man áskandin ka ágpanmánnu ka kawat katô tugál gabayi diyan.","Paliman naturally had previously become skilled in his own place, because he had observed the old women’s way of performing midwifery.","Natural na naunang naging bihasa si Paliman sa sarili niyang lugar, dahil napagmasdan niya ang pamamaraan ng mga matatandang babae sa pagpapaanak.","Si Paliman natural nga naanad na kaniadto didto sa iyang kaugalingong lugar, tungod kay naobserbahan niya ang pamaagi sa mga tigulang nga babaye sa pagpaanak."
SENT-0181,Na tô gó kali ulì si Paliman dutun ta banuwa din Bassa katig dán tô sawa i Basagan gawat.,And that is why Paliman did not go home to his place at Bassa until Basagan’s wife was skilled at being a midwife.,At iyan ang dahilan kung bakit hindi umuwi si Paliman sa kanyang lugar sa Bassa hanggang sa maging bihasa na ang asawa ni Basagan bilang isang kumadrona.,Ug mao kana nga wala mipauli si Paliman sa iyang lugar sa Bassa hangtod nga nahimong hanas ang asawa ni Basagan sa pagka mananabang.
SENT-0182,"Na, tô igulì si Paliman, tuu ágsággò tô sakup i Basagan, su mà dan, igginawaan dan si Paliman su mikatabang kandan.","Now when Paliman left for home, Basagan’s subjects cried very hard, because they loved Paliman since he was able to help them.","Ngayon nang umalis si Paliman pauwi, labis na umiyak ang mga tauhan ni Basagan, dahil minahal nila si Paliman simula nang natulungan niya sila.","Karon pag-uli ni Paliman, sige lag hilak ang mga ginsakopan ni Basagan, kay gimahal nila si Paliman tungod kay natabangan niya sila."
SENT-0183,Migulì si Paliman.,Paliman went home.,Umuwi si Paliman.,Mipauli si Paliman.
SENT-0184,Igbággean áskandin ka marapung agung.,He was given many brass gongs.,Binigyan siya ng maraming tansong agong.,Gihatagan siya og daghang mga agong nga hinimo sa tumbaga.
SENT-0185,"Yan imbággean áskandin pagsik ka lima tô állang gabayi i Basagan, lima pagsik tô gamama, marag állang.","Then he was also given five who were Basagan’s women slaves, and also five who were men, all slaves.","Pagkatapos binigyan din siya ng lima na mga babaeng alipin ni Basagan, at lima rin na mga lalaki, lahat alipin.","Unya gihatagan usab siya og lima nga mga babayeng ulipon ni Basagan, ug lima usab nga lalaki, pulos ulipon."
SENT-0186,Igpapid i Basagan ki Paliman gulì dutun ta Bassa.,Basagan sent him home with Paliman to Bassa.,Ipinasama sila ni Basagan kay Paliman pauwi sa Bassa.,Gipakuyog sila ni Basagan uban ni Paliman pauli sa Bassa.
SENT-0187,"Na igbullug pô gó si Paliman, igpasaké katô kudà, su ágginawaan dan su ikatabang kandan.","And Paliman, who was made to ride a horse, was guided along, because they loved him since he had been able to help them.","At si Paliman, na pinasakay sa kabayo, ay ginabayan sa daan, dahil mahal nila siya simula nang natulungan niya sila.","Ug si Paliman, nga gipasakay sa usa ka kabayo, gigiyahan sa dalan, tungod kay gimahal nila siya sanglit natabangan niya sila."
SENT-0188,"Na, tô gó tikud dutun ki Paliman, migmarapung é manubù dutun ta Banga.","Now that is why beginning from the time of Paliman, the people at Banga became many.","Ngayon iyan ang dahilan kung bakit simula sa panahon ni Paliman, dumami ang mga tao sa Banga.","Karon mao kana ang rason kon ngano gikan sa panahon ni Paliman, nidaghan ang mga tawo sa Banga."
SENT-0189,Taddó dád gó tô gulitán katô apù ku.,That is the end of what my grandmother told about.,Iyan ang katapusan ng isinalaysay ng aking lola.,Kana ang katapusan sa gisaysay sa akong lola.
SENT-0190,Tô batà buringán,The unkempt child,Ang batang gusgusin,Ang batang bulingot
SENT-0191,"Ni gulitán ni, atag katô batà buringán.","This story, it is about the unkempt child.","Ang kuwentong ito, ito ay tungkol sa batang gusgusin.","Kining istoryaha, mahitungod kini sa batang bulingot."
SENT-0192,"Tô midugé dán miglabé biyaán, duwán sábbad batà, na sunnud áskandin ágkatuluan.","A long time ago in years past, there was a certain child, and he was very lacking in common sense.","Noong unang panahon sa mga nakalipas na taon, may isang bata, at lubos siyang kulang sa tamang pag-iisip.","Kaniadto sa mga nanglabay nga tuig, adunay usa ka bata, ug kuwang gyud siyag saktong pangisip."
SENT-0193,"Buringán áskandin, asta yan é kandin lumu na ágpanmilé katô mga pamula katô amé din.","He was unkempt, and the thing that was his work was cutting down his father’s plants.","Siya ay gusgusin, at ang kanyang ginagawang trabaho ay pagputol sa mga pananim ng kanyang ama.","Bulingot siya, ug ang iyang buluhaton mao ang pagputol sa mga tanom sa iyang amahan."
SENT-0194,"Duwán sábbad álló misókó tô mga tábbé din, na migbunal áskandin kallu, na midabù na kali kóli áskandin na miglugsoan kódan.","There was a day his sisters became angry, and they beat him on the head with a pestle, and he fell down and did not recover until he had become drenched with rain.","May isang araw na nagalit ang kanyang mga kapatid na babae, at hinampas nila siya sa ulo gamit ang pambayo, at natumba siya at hindi nakabawi hanggang sa mabasa siya ng ulan.","Adunay usa ka adlaw nga nasuko ang iyang mga igsoong babaye, ug gibunalan nila siya sa ulo gamit ang alho, ug natumba siya ug wala nakaamgo hangtod nga nabasehan siya sa ulan."
SENT-0195,"Ándasu ikabanóbanó dán áskandin, migpudut din tô salóbbyó din, migpanó.","When he became conscious, he picked up his carrying cloth, and he traveled.","Nang magkamalay siya, kinuha niya ang kanyang balabal, at naglakbay siya.","Pag-amgo niya, gikuha niya ang iyang panapton nga pambalot, ug nagbiyahe siya."
SENT-0196,"Na, ándasu dutun dán ta madiyù, dutun ta mabánnás, na duwán migdinág din ágdagunút, sunnud dakál dagunután, su ágsippang ák lindig ka langit ágkadinág.","Now when he was far away, in the forest, there was something he heard making a very loud noise, because it could be heard as far away as the edge of heaven.","Ngayon nang malayo na siya, sa kagubatan, may narinig siyang gumagawa ng napakalakas na ingay, dahil maririnig ito hanggang sa gilid ng langit.","Karon dihang didto na siya sa layo, sa lasang, adunay nadunggan siya nga saba kaayo, kay madungog kini hangtod sa sidsid sa langit."
SENT-0197,"Ándasu migbantang din é mata din, yan é misállággan din, tô áppuy ágpamatayé.","When he turned his eyes down to the side, the thing that he saw, it was some snakes fighting each other.","Nang ibaling niya ang kanyang mga mata pababa sa gilid, ang bagay na kanyang nakita, ito ay mga ahas na nag-aaway sa isa't isa.","Paglingi sa iyang mga mata sa ubos, ang butang nga iyang nakita, mao ang mga bitin nga nag-away sa usag usa."
SENT-0198,Pató nu ák dakál áppuy su ágsuru dutut langit.,The proof that they were big snakes is because they reached to heaven.,Ang patunay na sila ay malalaking ahas ay dahil umaabot sila sa langit.,Ang pruweba nga dagko silang mga bitin mao ang pag-abot nila sa langit.
SENT-0199,Mikagit áskandin katô galangatán.,He happened to step on a twig.,Aksidente siyang nakatapak ng isang sanga.,Aksidente siyang nakatunob og sanga.
SENT-0200,Mikadinág tô áppuy.,The snakes heard it.,Narinig ito ng mga ahas.,Nadunggan kini sa mga bitin.
SENT-0201,"Sikandan, igsódó.",They ceased.,Tumigil sila.,Miundang sila.
SENT-0202,"Mikakita katô batà, na migsingyasan dan tô batà, ágpasanudán dutut madani dan.","They saw the child, and they gestured to the child, having him go near to them.","Nakita nila ang bata, at sumenyas sila sa bata, pinapalapit siya sa kanila.","Nakita nila ang bata, ug gisinyasan nila ang bata, gipaduol siya kanila."
SENT-0203,"Ándasu igdunggù tô batà, mà katô sábbad, “Pudut nu,” mà din, “ni bulawan nit ulu ku,” asta tô sábbad áppuy mà din, “Pudut nu,” mà din, “ni bulawan nit ulu ku.”","When the child arrived, one of them said, “Pick up,” he said, “this gold here on my head,” and the other snake said, “Pick up,” he said, “this gold here on my head.”","Nang makalapit ang bata, sinabi ng isa sa kanila, ""Kunin mo,"" sabi niya, ""itong ginto rito sa ulo ko,"" at sinabi ng isa pang ahas, ""Kunin mo,"" sabi niya, ""itong ginto rito sa ulo ko.""","Pag-abot sa bata, usa kanila miingon, Kuhaa, matod niya, kining bulawan dinhi sa akong ulo, ug ang laing bitin miingon, Kuhaa, matod niya, kining bulawan dinhi sa akong ulo."
SENT-0204,"Na ándasu igpudut din tô bulawan tut ulu katô duwa áppuy, tákkó tô áppuy, minaté, tô duwa áppuy.","Now when he picked up the gold on the heads of the two snakes, the snakes suddenly died, the two snakes.","Ngayon nang kunin niya ang ginto sa mga ulo ng dalawang ahas, biglang namatay ang mga ahas, ang dalawang ahas.","Karon pagkuha niya sa bulawan sa mga ulo sa duha ka bitin, kalit lang namatay ang mga bitin, ang duha ka bitin."
SENT-0205,"Pero ándà pa sikandan minaté, migpanalanan dan, mà dan, “Tampád nu ni ikug ku, na pamula nu tun ta tanà.”","But before they died, they instructed him, saying, “Cut off this tail of mine, and plant it in the ground.”","Ngunit bago sila namatay, binilinan nila siya, na nagsasabing, ""Putulin mo itong buntot ko, at itanim mo ito sa lupa.""","Apan sa wala pa sila namatay, gitugon nila siya, nga nag-ingon, Putla kining ikog nako, ug itanom sa yuta."
SENT-0206,"Ni sábbad, pamula nu dadat silatan, na tô sábbad dadat salláppan, ka ándà é kitaan nu ka banuwa nu.","This one, plant it on the east side, and the other one, on the west side, wherever you will find your place.","Ito, itanim mo sa silangang bahagi, at ang isa, sa kanlurang bahagi, kung saan man matagpuan ang iyong lugar.","Kini, itanom kini sa sidlakang bahin, ug ang usa, sa kasadpang bahin, bisan asa nimo makit-an ang imong lugar."
SENT-0207,Migtuman katô batà.,The child fulfilled.,Tinupad ito ng bata.,Gituman kini sa bata.
SENT-0208,"Na ándasu minaté dán tô áppuy, migpudut din tô bulawan, migtagù din dutut salóbbyó din, asta migtampád din tô duwa ikug, igtagù din pagsik tun ta kandin salóbbyó.","And when the snakes were dead, he picked up the gold, he put it in his carrying cloth, and he cut off the two tails, he put them also in his carrying cloth.","At nang mamatay na ang mga ahas, kinuha niya ang ginto, inilagay niya sa kanyang balabal, at pinutol niya ang dalawang buntot, inilagay niya rin ang mga ito sa kanyang balabal.","Ug sa dihang patay na ang mga bitin, gikuha niya ang bulawan, gibutang niya kini sa iyang panapton, ug iyang giputol ang duha ka ikog, gibutang usab niya kini sa iyang panapton."
SENT-0209,"Pero tô ándà pa sikandan kamaté, igpanalanan dan, mà dan, “Atin ágpanó ka tikud kannun, agad sadan é ágtawar ó ágpagkagi ákni̱kó, na yaka,” mà dan, “ágtaba, su atin tumaba ka, na kantusan nu, na kahirapan ka.”","But before they died, they instructed him, saying, “When you travel from here on, no matter who calls to you or talks to you, do not answer, because if you answer, you will experience suffering, and you will experience hardship.”","Ngunit bago sila namatay, binilinan nila siya, na nagsasabing, ""Kapag naglakbay ka simula dito, kahit sino ang tumawag sa iyo o kumausap sa iyo, huwag kang sasagot, dahil kung sasagot ka, makakaranas ka ng pagdurusa, at makakaranas ka ng hirap.""","Apan sa wala pa sila namatay, gipahimangnoan nila siya, nga nag-ingon, Inig biyahe nimo sukad karon, bisan kinsa pay motawag kanimo o makig-istorya kanimo, ayaw gyud og tubag, tungod kay kung motubag ka, makaagi ka og pag-antos, ug makaagi ka og kalisod."
SENT-0210,"Ándasu ágpanó dán tô batà tô, minaté dán tô áppuy.","When the child started to travel, the snakes had already died.","Nang magsimulang maglakbay ang bata, patay na ang mga ahas.","Pagsugod og biyahe sa bata, patay na ang mga bitin."
SENT-0211,"Ándasu dutun tógpuk dalan, tákkó tô kayu dalumé, miginsà kandin, “Mándak saru, tô batà buringán malandág é kiré?”","When he was further along the path, suddenly the dalumé tree, it asked him, “Where are you going, unkempt child with the slick eyebrows?”","Nang malayo na siya sa daan, biglang tinanong siya ng puno ng dalumé, ""Saan ka pupunta, batang gusgusin na may madudulas na kilay?""","Paglayo-layo na niya sa dalan, kalit lang nga nangutana kaniya ang punoan sa dalumé, Asa ka paingon, batang bulingot nga danlog og mga kilay?"
SENT-0212,Ándà mikapáttud tô batà.,The child was unable to control himself.,Hindi napigilan ng bata ang kanyang sarili.,Wala makapugong ang bata sa iyang kaugalingon.
SENT-0213,Ándà din kasampátti.,He did not remember what he had been told.,Hindi niya naalala ang ibinilin sa kanya.,Wala siya kahinumdom sa gisulti kaniya.
SENT-0214,Milingawan din tô panalan katô áppuy.,He forgot the snake’s instruction.,Nakalimutan niya ang bilin ng ahas.,Nakalimot siya sa tugon sa bitin.
SENT-0215,Tigkó áskandin migtaba.,He answered immediately.,Sumagot siya agad.,Mitubag siya dayon.
SENT-0216,"Takud ta mikataba áskandin, tákkó migkinamian katô kayu dalumé.","From the time he unintentionally answered, suddenly the dalumé tree enveloped him.","Mula noong oras na hindi sinasadya ay sumagot siya, bigla siyang binalot ng puno ng dalumé.","Gikan niadtong higayona nga wala tuyoang nakatubag siya, kalit lang siyang gitabonan sa punoan sa dalumé."
SENT-0217,"Na ándasu misampáttan din tô buntyà din, migkangé din.","Now when he happened to remember his amulet, he got it out.","Ngayon nang bigla niyang maalala ang kanyang anting-anting, inilabas niya ito.","Karon dihang nahinumdoman niya ang iyang anting-anting, gipagawas niya kini."
SENT-0218,"Innan igkállángkálláng tô buntyà din, tákkó mibias tô kayu dalumé.","When his amulet jiggled, suddenly the dalumé tree was split apart.","Nang yumanig ang kanyang anting-anting, biglang nahati ang puno ng dalumé.","Pag-uyog sa iyang anting-anting, kalit lang nga napikas ang punoan sa dalumé."
SENT-0219,Yampa mikaluwà tô batà.,After that the child was able to escape.,Pagkatapos niyon ay nakatakas ang bata.,"Pagkahuman niana, nakalingkawas ang bata."
SENT-0220,"Na tikud dán puman dutun, tô batà buringán, igpanó.","Then from there again, the unkempt child, he traveled on.","Pagkatapos mula roon muli, ang batang gusgusin, nagpatuloy siya sa paglalakbay.","Unya gikan didto na usab, ang batang bulingot, nagpadayon siya sa pagbiyahe."
SENT-0221,"Na ándasu igdunggù dán puman dutun ta madiyù dán, tákkó puman igkagi tô biyya̱t gamógamó mà din, “Mándak saru, é pangilinan malandág é kiré?”","Now when he again had reached a far distance, suddenly the fairy at the lake spoke, saying, “Where are you going, little boy with the slick eyebrows?”","Ngayon nang makarating siya muli sa malayong distansya, biglang nagsalita ang diwata sa lawa, na nagsasabing, ""Saan ka pupunta, batang lalaki na may madudulas na kilay?""","Karon sa dihang nakaabot na usab siya sa layo nga distansya, kalit lang nga misulti ang engkantada sa lanaw, nga nagaingon, Asa ka paingon, gamayng laki nga danlog og mga kilay?"
SENT-0222,"Tigkó puman milingawan katô batà tô migpanalan kandin, na mikataba áskandin.","Again the child immediately forgot what had been given as instructions to him, and he unintentionally answered.","Muli ay agad na nakalimutan ng bata ang ibinigay na mga bilin sa kanya, at hindi sinasadyang sumagot siya.","Nausab na usab og kalimot ang bata sa mga tugon kaniya, ug wala niya tuyoang nakatubag siya."
SENT-0223,"Ándasu mikataba áskandin, tákkó puman migtákkó, misédóp katô lanó, na kali din kasóddóri, na dutun dán ta madalám linó.","When he unintentionally answered, again suddenly the lake sucked him in, and before he knew it, there he was in a deep pool.","Nang hindi sinasadya ay sumagot siya, muli ay bigla siyang hinigop ng lawa, at bago niya mamalayan, naroon siya sa isang malalim na tubigan.","Pagkatubag niyag wala sa tuyo, kalit na usab siyang gisuyop sa lanaw, ug sa wala niya namalayan, anaa na siya sa lawom nga linaw."
SENT-0224,Misampáttan din puman tô buntyà.,Again he happened to remember the amulet.,Muli ay bigla niyang naalala ang anting-anting.,"Sa makausa pa, nahinumdoman niya ang anting-anting."
SENT-0225,Tigkó puman ibaluy dakál buwaya na sédópi din tô wayig.,Again immediately it was transformed into a big crocodile that sucked up the water.,Muli ay agad itong naging isang malaking buwaya na humigop sa tubig.,Sa makausa pa nausab dayon kini ngadto sa dakong buaya nga misuyop sa tubig.
SENT-0226,"Na tigkó mittitian tô wayig, na yampa puman áskandin mikaluwà.","Immediately the water was dried up, and after that he was able to escape again.","Agad na natuyo ang tubig, at pagkatapos niyon ay nakatakas siya muli.","Naughan dayon ang tubig, ug pagkahuman niana nakalingkawas na usab siya."
SENT-0227,"Na tikud dán puman dutun, áskandin, igpanó.","Then from there again, he traveled on.","Pagkatapos mula roon muli, nagpatuloy siya sa paglalakbay.","Unya gikan didto na usab, nagpadayon siya sa pagbiyahe."
SENT-0228,"Na ándasu dutun dán ta madiyù, mikakita din tô banuwa na madigál, na tákkó áskandin mikapangadáy, na mà din, “Mólà pád ka kannun é banuwa imuán ku.”","Now when he was already at a far distance, he saw a place that was good, and suddenly he sighed, and said, “May it be that here is the place I will make (mine).”","Ngayon nang nasa malayong distansya na siya, nakita niya ang isang lugar na maganda, at bigla siyang bumuntong-hininga, at sinabing, ""Nawa'y dito ang lugar na aking gagawing tirahan.""","Karon sa dihang naa na siya sa layo nga distansya, nakita niya ang usa ka lugar nga nindot, ug kalit siyang nanghupaw, ug miingon, Hinaot nga dinhi ang lugar nga akong himuon."
SENT-0229,"Mimu áskandin ák banuwa tut pabungan át Luwayán, na minému.","He would make a place on the mountain at Luwayan, and he was able to do so.","Gagawa siya ng lugar sa bundok ng Luwayan, at nagawa niya ito.","Maghimo siyag lugar sa bukid sa Luwayan, ug nahimo niya kini."
SENT-0230,"Na, tô sábbad ikug katô áppuy, migpamula din tut dadan át silatan.","Now as for the one snake’s tail, he planted it toward the east.","Ngayon tungkol sa buntot ng isang ahas, itinanim niya ito patungo sa silangan.","Karon bahin sa usa ka ikog sa bitin, gitanom niya kini paingon sa sidlakan."
SENT-0231,"Migtubù tô mibaluy kayu, kayu ka kallungan bulawan, ágpangak sinapang, ágdaun ka salapi.","It sprouted into a tree, a golden shade tree, having branches of guns, leaves of money.","Sumibol ito bilang isang puno, isang gintong puno na nagbibigay lilim, na may mga sanga ng baril, at mga dahon ng pera.","Mitiurok kini nga usa ka punoan, usa ka bulawanon nga kahoyng landong, nga adunay mga sanga nga pusil, ug mga dahon nga kuwarta."
SENT-0232,"Pamulayi din puman tô sábbad ikug katô áppuy dadat salláppan, na migtubù tô kayu, kayu ballas bulawan na migbuuy ák salapi.","He also planted the other snake’s tail on the west side, and a tree sprouted, a golden ballas tree that bore fruit of money.","Itinanim din niya ang buntot ng isa pang ahas sa kanlurang bahagi, at sumibol ang isang puno, isang gintong puno ng ballas na namumunga ng pera.","Gitanom usab niya ang laing ikog sa bitin sa kasadpang bahin, ug adunay punoan nga mitubo, usa ka bulawanon nga punoan sa ballas nga namungag kuwarta."
SENT-0233,"Na tikud taddó, migóddò áskandin na agad ándà banuwayi.","From that time on, he lived just whichever place he wished.","Mula noon, nanirahan na siya sa kahit saang lugar na gusto niya.","Gikan niadtong panahona, nagpuyo na siya sa bisan asang lugar nga gusto niya."
SENT-0234,"Minému áskandin midinág na agad ándà banuwayi, ibantugan tô pangilinan batà buringán.","He became known, and whichever place he was, the little unkempt boy was famous.","Nakilala siya, at kahit saang lugar siya magpunta, sikat ang maliit na batang gusgusin.","Nailhan siya, ug bisan asang lugara siya, sikat ang gamayng batang bulingot."
SENT-0235,"Imbis batà buringán áskandin, na minému dán mallaki áskandin na mibantugan sippang ák lindig ka langit é bantug din.","Instead of his being an unkempt child, he became a young man who was famous until the edge of heaven.","Sa halip na siya ay maging isang batang gusgusin, naging isang binata siya na sikat hanggang sa gilid ng langit.","Imbes nga siya usa ka batang bulingot, nahimo siyang ulitawo nga sikat hangtod sa sidsid sa langit."
SENT-0236,"Mikadinág é biyya góddò tut ugis langit, na tákkó na migdunggù áskandin igsadun dutut balé katô mallaki.","A fairy princess who lived in the holy heaven happened to hear about him, and suddenly she arrived and went to the young man’s house.","Isang diwatang prinsesa na nakatira sa banal na langit ang nakarinig tungkol sa kanya, at bigla siyang dumating at nagpunta sa bahay ng binata.","Usa ka prinsesang engkantada nga nagpuyo sa balaan nga langit ang nakadungog bahin kaniya, ug kalit siyang miabot ug miadto sa balay sa ulitawo."
SENT-0237,"Na minému sikandan migpakalayégé, na migsakupan ka madita mga datù tut pabungan át Luwayán.","Then they became married, and many datus were there at the wedding on the mountain at Luwayan.","Pagkatapos sila ay ikinasal, at maraming datu ang naroon sa kasal sa bundok ng Luwayan.","Unya nagpakasal sila, ug daghang mga datu ang nitambong sa kasal sa bukid sa Luwayan."
SENT-0238,Taddó dán áskandin migtónnók migóddò.,There he settled down and lived.,Doon siya namuhay at nanirahan.,Didto siya namuyo ug nagpuyo.
SENT-0239,Taddó dád gó sippang.,Until there only for sure.,Hanggang diyan na lang talaga.,Kutob ra didto sa tinuod lang.
SENT-0240,Ás Paladayán,Paladayan,Paladayan,Paladayan
SENT-0241,"Ás Paladayán, mà din katô tábbé din, “Managasu a pa; sábbadan a dád,” mà kun i Paladayán.","Paladayan, he said to his sister, “I will hunt with the dog; I will only be gone one night,” Paladayan said.","Si Paladayan, sinabi niya sa kanyang kapatid na babae, ""Mangangaso ako kasama ng aso; isang gabi lang akong mawawala,"" sabi ni Paladayan.","Si Paladayan, miingon siya sa iyang igsoong babaye, Mangayam ko uban sa aso; usa ra ko ka gabii, matod ni Paladayan."
SENT-0242,"Gayun dán ágpanó, duwán mga balun din, ágkannán.","When he proceeded now to depart, he had his food packs, cooked rice.","Nang magpatuloy na siya sa pag-alis, dala niya ang kanyang mga baon, lutong kanin.","Sa dihang mipadayon na siya sa paggikan, dala niya ang iyang mga bawon, nilutong kan-on."
SENT-0243,Ándà dán pid ka bággas.,He did not take any hulled rice.,Hindi siya nagdala ng anumang bigas.,Wala siya magdalag bisan unsang bugas.
SENT-0244,"Ágkannán dád tô igbalun din, asta tô asu din, ágpakannán din.","Cooked rice was the only thing he took as trail food, and as for his dog, he was feeding it.","Lutong kanin lamang ang tanging dinala niya bilang baon, at tungkol sa kanyang aso, pinapakain niya ito.","Kan-on lang ang bugtong butang nga gidala niya isip bawon, ug bahin sa iyang aso, nagpakaon siya niini."
SENT-0245,"Na, isábbadan ás Paladayán, ándà man ábbu é asu din.","Now Paladayan had stayed one night, and naturally his dog had not barked at anything.","Ngayon ay nanatili si Paladayan ng isang gabi, at natural na hindi tumahol sa anuman ang kanyang aso.","Karon nagpabilin si Paladayan sa usa ka gabii, ug natural nga wala nipaghot ang iyang aso sa bisan unsa."
SENT-0246,Una dán é asu ulì.,The dog had already gone ahead home.,Nauna nang umuwi ang aso sa bahay.,Nauna nang niuli ang aso sa balay.
SENT-0247,"Na, si Paladayán, gáddìng pa ágágáttas ka balagán.","Now Paladayan, he stopped off awhile to cut rattan.","Ngayon si Paladayan, huminto muna siya sandali para pumutol ng yantok.","Karon si Paladayan, nihunong una siya kadiyot aron mamutol og uway."
SENT-0248,"Ágdunggù é asu tut balé gó i Paladayán, tô dád man tábbé din.","When the dog arrived at the house of Paladayan, naturally only Paladayan’s sister was there.","Nang makarating ang aso sa bahay ni Paladayan, natural na tanging kapatid na babae ni Paladayan ang naroon.","Pag-abot sa aso sa balay ni Paladayan, natural nga ang igsoong babaye lamang ni Paladayan ang didto."
SENT-0249,"Na, igsumar katô tábbé din tô asu dut pagampak, mà din kun, “Igánda dán si Paladayán?”","Now his sister met the dog at the entrance, she said, “Where is Paladayan now?”","Ngayon sinalubong ng kanyang kapatid ang aso sa pintuan, sinabi niya, ""Nasaan na si Paladayan ngayon?""","Karon gisugat sa iyang igsoon ang aso sa pultahan, miingon siya, Hain na si Paladayan karon?"
SENT-0250,"Igánda dán si Paladayán?” mà kun katô bayi, tábbé gó i Paladayán.","“Where is Paladayan now?” said the woman, the sister of Paladayan.","Nasaan na si Paladayan ngayon? sabi ng babae, ang kapatid ni Paladayan.","Hain na si Paladayan karon? sulti sa babaye, ang igsoon ni Paladayan."
